index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,native-country,Y
0,23,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
12913,32,Private,132652,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,United-States,0
16003,50,Private,132652,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
12854,24,?,132652,Assoc-voc,11,Never-married,?,Not-in-family,White,Male,United-States,0
4624,23,?,132652,Bachelors,13,Never-married,?,Not-in-family,White,Female,United-States,0
8357,62,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
8675,31,Private,132652,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,United-States,0
16767,47,Local-gov,132652,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
15524,32,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,1
10708,31,Private,132652,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
958,17,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
6296,45,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
8041,33,Private,132652,HS-grad,9,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,0
4209,35,Local-gov,132652,Prof-school,15,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,0
5820,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
13806,23,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
2531,17,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,0
7834,21,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,United-States,0
898,36,Federal-gov,132652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
6883,33,Private,132652,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
16660,39,Private,132652,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
3730,24,Private,132652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
3768,52,Local-gov,132652,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
16763,41,Private,132652,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
15051,36,?,132652,Bachelors,13,Never-married,?,Not-in-family,White,Female,United-States,0
13673,28,Private,132652,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,United-States,0
12620,19,Private,132652,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
5013,17,Private,132652,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
14153,18,Private,132652,11th,7,Widowed,Handlers-cleaners,Unmarried,White,Female,United-States,0
12815,18,Private,132652,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,United-States,0
9165,17,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
5510,23,Private,132652,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,1
9950,20,?,132652,Some-college,10,Married-civ-spouse,?,Husband,White,Male,United-States,1
552,31,Private,132652,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
3839,25,Private,132652,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,0
4699,23,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
15112,22,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
12825,23,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
11580,34,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
3803,30,Private,132652,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
238,21,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
5112,23,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
8906,21,Private,132652,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,0
1478,31,Private,132652,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
4703,50,Local-gov,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
352,19,Private,132652,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,0
10468,20,Local-gov,132652,Some-college,10,Separated,Other-service,Own-child,White,Male,United-States,0
522,17,Self-emp-not-inc,132652,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
14519,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
13073,50,Self-emp-not-inc,132652,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
15721,36,Private,132652,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,0
13046,17,Local-gov,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,0
13980,17,Private,132652,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
1351,28,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
3728,50,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
3744,20,Private,132652,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
12723,50,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
10662,25,Private,132652,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0
16990,36,Private,132652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
2529,30,?,132652,Some-college,10,Never-married,?,Not-in-family,White,Male,United-States,0
13966,23,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
16658,20,?,132652,Some-college,10,Divorced,?,Own-child,White,Male,United-States,0
4827,17,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,United-States,1
2995,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
4291,50,Private,132652,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,1
16335,36,?,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
12877,39,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
67,31,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
15450,19,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,0
16888,39,State-gov,132652,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,United-States,0
4437,22,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
3306,31,Private,132652,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,0
9389,17,Private,132652,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
4027,23,?,132652,7th-8th,4,Married-civ-spouse,?,Husband,Black,Male,United-States,0
7990,17,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
10987,50,Private,132652,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
2940,33,Private,132652,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
14371,50,Private,132652,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
1463,50,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
10502,23,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
9834,23,Private,132652,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Asian-Pac-Islander,Male,United-States,1
8139,36,Federal-gov,132652,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
15397,37,Federal-gov,132652,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
9883,17,Self-emp-not-inc,132652,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
4240,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
14684,36,Private,132652,HS-grad,9,Never-married,?,Not-in-family,White,Male,United-States,0
13047,19,Private,132652,10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
4726,19,Private,132652,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,0
1842,34,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
5862,21,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
15688,17,Self-emp-not-inc,132652,Bachelors,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
8003,17,Local-gov,132652,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
2815,23,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
15783,43,Private,132652,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,United-States,0
5194,41,State-gov,132652,Assoc-voc,11,Never-married,Tech-support,Unmarried,White,Female,United-States,0
4942,17,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
8028,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
8718,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
2470,22,Private,132652,Some-college,10,Divorced,Other-service,Unmarried,White,Female,United-States,0
633,28,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
3234,21,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Male,United-States,0
14596,19,Private,132652,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,0
14928,50,State-gov,132652,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,1
1237,23,Private,132652,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,0
4727,36,Private,132652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
11883,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
7610,26,Self-emp-not-inc,132652,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,0
1892,31,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
14336,37,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
10515,23,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
7112,17,Private,132652,HS-grad,9,Never-married,Sales,Own-child,White,Female,United-States,0
13703,47,Private,132652,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
1123,22,Private,132652,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,0
14193,30,Private,132652,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,0
4813,23,Private,132652,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
3231,31,Self-emp-not-inc,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
12284,26,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
7761,21,Private,132652,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
2646,33,Self-emp-inc,132652,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,United-States,0
1252,34,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
16732,34,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
3975,41,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
5816,30,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0
6048,24,Private,132652,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
16635,31,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,United-States,1
3043,50,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
16823,36,Private,132652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
2587,22,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
3451,21,Private,132652,Some-college,10,Never-married,Other-service,Own-child,White,Male,United-States,0
16114,27,Private,132652,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
3683,36,Private,132652,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
4799,50,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
15253,23,Private,132652,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,0
3083,20,Private,132652,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
14775,33,Private,132652,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,0
16181,37,Self-emp-inc,132652,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
6712,25,Private,132652,Bachelors,13,Divorced,Sales,Not-in-family,Black,Male,United-States,0
15355,36,Private,132652,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States,1
7166,47,Private,132652,HS-grad,9,Divorced,Other-service,Unmarried,Black,Male,United-States,0
14652,22,Private,132652,Some-college,10,Separated,Sales,Unmarried,White,Female,United-States,0
3557,21,Private,132652,HS-grad,9,Never-married,Sales,Own-child,White,Male,United-States,0
16214,23,Private,132652,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
5655,50,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
10855,37,Private,132652,HS-grad,10,Divorced,Other-service,Not-in-family,White,Male,United-States,0
9099,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
2335,18,Private,132652,11th,7,Never-married,Other-service,Other-relative,White,Male,United-States,0
12817,25,Private,132652,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,United-States,0
2000,28,?,132652,HS-grad,9,Divorced,?,Husband,White,Male,United-States,0
3754,37,Self-emp-not-inc,132652,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,0
13089,23,Private,132652,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
14232,33,Private,132652,Some-college,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,United-States,0
3355,22,Private,132652,Some-college,10,Never-married,Exec-managerial,Unmarried,White,Female,United-States,0
9763,21,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
1590,45,Private,132652,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
7759,41,Private,132652,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
5094,24,Private,132652,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
14000,31,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
7403,17,Local-gov,132652,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
2305,39,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
2222,33,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
413,19,Private,132652,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,0
6577,36,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
9708,23,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
16462,26,Private,132652,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,0
16785,24,Private,132652,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,0
12974,36,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
15339,50,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
1989,26,Private,132652,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,United-States,0
2263,50,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
3916,50,Local-gov,132652,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
8602,31,Private,132652,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
7870,31,Private,132652,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0
10594,31,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
8304,23,Private,132652,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,United-States,0
14667,50,Private,132652,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,United-States,0
247,36,Private,132652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
13495,50,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
8586,36,Private,132652,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
3763,22,Private,132652,Bachelors,13,Never-married,Sales,Unmarried,White,Female,United-States,0
9691,38,Private,132652,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,0
4929,50,State-gov,132652,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
7872,19,Local-gov,132652,11th,7,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,0
11267,19,Private,132652,Assoc-voc,11,Never-married,Sales,Unmarried,Black,Female,United-States,0
8542,17,Private,132652,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
8539,36,Private,132652,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
12102,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
14863,42,Private,132652,7th-8th,4,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
4004,19,Private,132652,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,0
3071,27,Private,132652,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
11614,19,Private,132652,Some-college,10,Divorced,Handlers-cleaners,Own-child,White,Female,United-States,0
7941,35,Private,132652,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,0
16580,19,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
180,22,Private,132652,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,0
8896,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
12068,23,Private,132652,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
6113,19,Private,132652,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Female,United-States,0
7450,23,Private,132652,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
10580,17,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
12042,36,Private,132652,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
11695,41,Local-gov,132652,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,0
12322,31,Private,132652,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
15665,28,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
4567,19,Private,132652,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,0
9689,21,Private,132652,10th,6,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
4121,36,Private,132652,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
2013,19,Private,34572,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Male,United-States,0
6450,18,Private,132652,11th,7,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States,0
13531,50,Local-gov,132652,Masters,14,Married-civ-spouse,Sales,Wife,White,Female,United-States,0
3053,50,Private,132652,Bachelors,9,Never-married,Exec-managerial,Unmarried,White,Female,United-States,0
7294,23,Private,132652,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
11945,19,Private,132652,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
